add 533 user word
+++++++++++++++++++++++++++++
stop words size is: 1226
The current weibo list size is: 5478
The K hours weibo list size is: 6031
add 533 user word
获取特征词用时：2
工程		IDF：47.7172		出现次数：6		词频：7
主持		IDF：47.7172		出现次数：6		词频：7
落实		IDF：47.4921		出现次数：2		词频：6
伤口		IDF：47.4921		出现次数：2		词频：6
眼神		IDF：46.633		出现次数：7		词频：7
说话		IDF：46.633		出现次数：7		词频：7
进入		IDF：46.633		出现次数：7		词频：7
你好		IDF：46.633		出现次数：7		词频：7
经济		IDF：46.633		出现次数：7		词频：7
合约		IDF：46.633		出现次数：7		词频：7
意思		IDF：46.633		出现次数：7		词频：7
人品		IDF：46.633		出现次数：7		词频：7
发布		IDF：46.633		出现次数：7		词频：7
测试		IDF：46.633		出现次数：7		词频：7
良心		IDF：46.633		出现次数：7		词频：7
持续		IDF：46.633		出现次数：7		词频：7
分析		IDF：46.633		出现次数：7		词频：7
动态		IDF：46.633		出现次数：7		词频：7
真心		IDF：46.633		出现次数：7		词频：7
亮点		IDF：46.633		出现次数：7		词频：7
态度		IDF：46.633		出现次数：7		词频：7
风格		IDF：46.633		出现次数：7		词频：7
脑袋		IDF：46.633		出现次数：7		词频：7
位置		IDF：46.633		出现次数：7		词频：7
抓紧		IDF：46.633		出现次数：7		词频：7
队伍		IDF：46.633		出现次数：7		词频：7
体验		IDF：46.633		出现次数：7		词频：7
包括		IDF：46.633		出现次数：7		词频：7
话筒		IDF：46.633		出现次数：7		词频：7
明星		IDF：46.633		出现次数：7		词频：7
心灵		IDF：46.633		出现次数：7		词频：7
真人		IDF：46.633		出现次数：7		词频：7
心态		IDF：46.633		出现次数：7		词频：7
热血		IDF：46.633		出现次数：7		词频：7
付出		IDF：46.633		出现次数：7		词频：7
校园网		IDF：46.633		出现次数：7		词频：7
震惊		IDF：46.633		出现次数：7		词频：7
确定		IDF：46.633		出现次数：7		词频：7
平民		IDF：46.633		出现次数：7		词频：7
企业		IDF：46.633		出现次数：7		词频：7
所谓		IDF：46.633		出现次数：7		词频：7
历史		IDF：46.633		出现次数：7		词频：7
等待		IDF：46.633		出现次数：7		词频：7
打开		IDF：46.633		出现次数：7		词频：7
我校		IDF：46.633		出现次数：7		词频：7
敬请		IDF：46.633		出现次数：7		词频：7
满足		IDF：46.633		出现次数：7		词频：7
留下		IDF：46.633		出现次数：7		词频：7
遇见		IDF：46.633		出现次数：7		词频：7
解决		IDF：46.633		出现次数：7		词频：7
人类		IDF：46.633		出现次数：7		词频：7
留言		IDF：46.633		出现次数：7		词频：7
演唱会		IDF：46.633		出现次数：7		词频：7
小组		IDF：46.633		出现次数：7		词频：7
冠军		IDF：46.633		出现次数：7		词频：7
